INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  236, avg:  275, best:  793)
INFO:root:episode     0 complete - reward(new:  527, avg:  277, best:  793)
INFO:root:episode     0 complete - reward(new:  424, avg:  279, best:  793)
INFO:root:episode     0 complete - reward(new:  166, avg:  277, best:  793)
INFO:root:episode     0 complete - reward(new:   88, avg:  276, best:  793)
INFO:root:episode     0 complete - reward(new:  425, avg:  277, best:  793)
INFO:root:episode     0 complete - reward(new:  283, avg:  277, best:  793)
INFO:root:episode     0 complete - reward(new:  164, avg:  276, best:  793)
INFO:root:episode     0 complete - reward(new:  314, avg:  276, best:  793)
INFO:root:episode     0 complete - reward(new:  269, avg:  276, best:  793)
INFO:root:episode     0 complete - reward(new:  192, avg:  275, best:  793)
INFO:root:episode     0 complete - reward(new:   92, avg:  274, best:  793)
INFO:root:episode     0 complete - reward(new:  346, avg:  274, best:  793)
INFO:root:episode     0 complete - reward(new:  527, avg:  277, best:  793)
INFO:root:episode     0 complete - reward(new:  417, avg:  278, best:  793)
INFO:root:episode     0 complete - reward(new:  562, avg:  281, best:  793)
INFO:root:episode     0 complete - reward(new:  524, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  179, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  245, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  289, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  251, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  314, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  340, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  290, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  404, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  191, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  322, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  537, avg:  286, best:  793)
INFO:root:episode     0 complete - reward(new:  145, avg:  285, best:  793)
INFO:root:episode     0 complete - reward(new:  198, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  347, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  379, avg:  285, best:  793)
INFO:root:episode     0 complete - reward(new:  273, avg:  285, best:  793)
INFO:root:episode     0 complete - reward(new:  145, avg:  284, best:  793)
INFO:root:episode     0 complete - reward(new:  240, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  241, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  253, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  146, avg:  281, best:  793)
INFO:root:episode     0 complete - reward(new:  784, avg:  286, best:  793)
INFO:root:episode     0 complete - reward(new:  124, avg:  285, best:  793)
INFO:root:episode     0 complete - reward(new:  102, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  324, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  214, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  133, avg:  281, best:  793)
INFO:root:episode     0 complete - reward(new:  269, avg:  281, best:  793)
INFO:root:episode     0 complete - reward(new:  128, avg:  279, best:  793)
INFO:root:episode     0 complete - reward(new:  541, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  110, avg:  280, best:  793)
INFO:root:episode     0 complete - reward(new:  489, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  221, avg:  282, best:  793)
INFO:root:episode     0 complete - reward(new:  206, avg:  281, best:  793)
INFO:root:episode     0 complete - reward(new:   57, avg:  279, best:  793)
INFO:root:episode     0 complete - reward(new:  220, avg:  278, best:  793)
INFO:root:episode     0 complete - reward(new:  378, avg:  279, best:  793)
INFO:root:episode     0 complete - reward(new:  284, avg:  279, best:  793)
INFO:root:episode     0 complete - reward(new:  645, avg:  283, best:  793)
INFO:root:episode     0 complete - reward(new:  582, avg:  286, best:  793)
INFO:root:episode     0 complete - reward(new:  199, avg:  285, best:  793)
INFO:root:episode     0 complete - reward(new:  589, avg:  288, best:  793)
INFO:root:episode     0 complete - reward(new:  262, avg:  288, best:  793)
INFO:root:episode     0 complete - reward(new:  331, avg:  288, best:  793)
INFO:root:episode     0 complete - reward(new:  418, avg:  290, best:  793)
INFO:root:episode     0 complete - reward(new:  407, avg:  291, best:  793)
INFO:root:episode     0 complete - reward(new:  427, avg:  292, best:  793)
INFO:root:episode     0 complete - reward(new:  191, avg:  291, best:  793)
INFO:root:episode     0 complete - reward(new:  375, avg:  292, best:  793)
INFO:root:episode     0 complete - reward(new:  333, avg:  292, best:  793)
INFO:root:episode     0 complete - reward(new:  359, avg:  293, best:  793)
INFO:root:episode     0 complete - reward(new:  122, avg:  291, best:  793)
INFO:root:episode     0 complete - reward(new:  164, avg:  290, best:  793)
INFO:root:episode     0 complete - reward(new:  138, avg:  288, best:  793)
